,participant_id,I can never spend enough time on my mobile phone.,I have used my mobile phone to make myself feel better when I was feeling down.,"I find myself occupied on my mobile phone when I should be doing other things, and it causes problems.",All my friends own a mobile phone.,I have tried to hide from others how much time I spend on my mobile phone.,I lose sleep due to the time I spend on my mobile phone.,I have received mobile phone bills I could not afford to pay.,"When out of range for some time, I become preoccupied with the thought of missing a call.","Sometimes, when I am on the mobile phone and I am doing other things, I get carried away with the conversation and I don’t pay attention to what I am doing.",The time I spend on the mobile phone has increased over the last 12 months.,I have used my mobile phone to talk to others when I was feeling isolated.,I have attempted to spend less time on my mobile phone but am unable to.,I find it difficult to switch off my mobile phone.,I feel anxious if I have not checked for messages or switched on my mobile phone for some time.,I have frequent dreams about the mobile phone.,My friends and family complain about my use of the mobile phone.,"If I don't have a mobile phone, my friends would find it hard to get in touch with me. ",My productivity has decreased as a direct result of the time I spend on the mobile phone.,I have aches and pains that are associated with my mobile phone use.,I find myself engaged on the mobile phone for longer periods of time than intended.,There are times when I would rather use the mobile phone than deal with other more pressing issues.,I am often late for appointments because I'm engaged on the mobile phone when I shouldn't be.,"I become irritable if I have to switch off my mobile phone for meetings, dinner engagements, or at the movies.",I have been told that I spend too much time on my mobile phone.,"More than once I have been in trouble because my mobile phone has gone off during a meeting, lecture, or in a theatre.",My friends don't like it when my mobile phone is switched off.,I feel lost without my mobile phone.,Missing planned work due to smartphone use.,"Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use.",Experiencing lightheadedness or blurred vision due to excessive smartphone use.,Feeling pain in the wrists or at the back of the neck while using a smartphone.,Feeling tired and lacking adequate sleep due to excessive smartphone use.,Feeling calm or cozy while using a smartphone.,Feeling pleasant or excited while using a smartphone.,Feeling confident while using a smartphone.,Being able to get rid of stress with a smartphone.,There is nothing more fun to do than using my smartphone.,My life would be empty without my smartphone. ,Feeling most liberal while using a smartphone.,Using a smartphone is the most fun thing to do. ,Won’t be able to stand not having a smartphone.,Feeling impatient and fretful when I am not holding my smartphone.,Having my smartphone in my mind even when I am not using it.,"I will never give up using my smartphone even when my daily life is already greatly affected
by it.",Getting irritated when bothered while using my smartphone.,Bringing my smartphone to the toilet even when I am in a hurry to get there.,Feeling great meeting more people via smartphone use.,"Feeling that my relationships with my smartphone buddies are more intimate than my
relationships with my real-life friends.",Not being able to use my smartphone would be as painful as losing a friend.,Feeling that my smartphone buddies understand me better than my real-life friends.,"Constantly checking my smartphone so as not to miss conversations between other people
on Twitter or Facebook.",Checking SNS (Social Networking Service) sites like Twitter or Facebook right after waking up.,"Preferring talking with my smartphone buddies to hanging out with my real-life friends or
with the other members of my family.",Preferring searching from my smartphone to asking other people.,My fully charged battery does not last for one whole day.,Using my smartphone longer than I had intended.,Feeling the urge to use my smartphone again right after I stopped using it.,"Having tried time and again to shorten my smartphone use time, but failing all the time.",Always thinking that I should shorten my smartphone use time.,The people around me tell me that I use my smartphone too much.,How much do you agree with the statement: I am addicted to my smartphone?,My phone is on [Silent / DND],My phone is on [Vibrate only],My phone is on [Loud],Do you receive notifications on some other device instead (like a smartwatch)?,What emotions are typically associated with receiving smartphone notifications?,How did you feel about the notifications during the first half of the experiment?,How did you feel about the notifications during the 2nd half of the experiment?,MPPUS,SAS
202,adfgr88,5,8,4,10,2,5,1,3,3,5,10,4,3,2,1,2,7,4,1,2,5,2,1,3,2,8,3,2,2,3,1,2,3,3,3,3,2,3,2.0,2,4,1,2,3,1,2,2,1,2,1,2,4,1,3.0,1.0,3,2,2,2,2,Neutral,Sometimes,Sometimes,Often,No,Neutral,,,,
203,avmgr73,2,2,5,4,5,7,5,5,6,6,6,8,9,6,5,4,9,6,4,5,4,6,4,3,3,2,4,1,3,4,5,3,4,3,5,5,5,1,2.0,1,4,2,3,2,5,5,5,5,3,3,3,3,4,5.0,3.0,5,2,3,5,2,Disagree,Never,Always,Always,Yes,Exciting,,,,
204,samgr79,6,6,5,9,3,4,1,1,1,3,6,4,1,4,1,2,6,7,1,7,7,6,1,1,1,1,1,1,2,1,4,3,3,3,4,3,1,2,2.0,1,1,1,1,1,2,1,3,1,1,1,2,4,1,4.0,1.0,4,1,2,3,1,Strongly disagree,Never,Always,Never,No,Neutral,,,,
205,prmpo94,3,8,4,10,3,3,1,1,5,6,5,6,2,2,2,2,9,7,2,7,2,2,2,2,6,3,2,2,3,2,2,1,3,5,1,2,2,1,1.0,4,1,1,1,1,1,1,5,2,2,3,3,5,2,2.0,4.0,4,3,3,5,3,Neutral,Sometimes,Always,Never,No,Neutral,,,,
206,shmgr93,5,3,2,10,1,2,1,1,2,1,4,1,1,1,1,1,9,4,1,3,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,2,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,2.0,2,1,1,3,1,Strongly disagree,Never,Often,Often,No,Neutral,,,,
207,tumgr85,8,8,7,10,1,1,1,3,5,5,4,4,2,5,1,1,1,2,2,3,4,3,4,4,1,4,1,1,2,2,2,1,2,2,2,2,2,2,2.0,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2.0,2.0,2,2,3,2,2,Neutral,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
208,anmgr98,3,8,5,10,5,6,1,2,3,7,1,7,8,1,1,1,8,8,5,5,7,1,1,1,1,1,1,5,5,5,5,5,5,5,5,6,5,5,5.0,5,5,1,1,5,1,1,1,1,4,1,3,6,1,5.0,6.0,4,1,3,3,1,Neutral,Always,Never,Never,No,Exciting,,,,
209,akmgr81,5,2,10,10,6,9,5,5,5,6,6,8,8,9,1,5,9,8,5,8,5,3,2,2,6,8,8,5,5,5,5,5,5,1,1,1,1,1,1.0,3,3,3,6,2,5,2,2,3,3,5,5,5,4,4.0,6.0,5,3,3,3,3,Neutral,Often,Always,Sometimes,No,Neutral,,,,
210,akmgr95,4,7,4,8,4,5,1,9,10,10,7,10,6,6,1,10,7,8,5,6,8,8,3,9,9,7,7,5,4,5,5,3,3,6,5,5,2,3,2.0,3,3,5,5,2,5,5,3,4,2,5,5,4,5,5.0,5.0,5,4,2,1,4,Agree,Sometimes,Often,Sometimes,No,Exciting,,,,
211,mdmpo90,10,4,10,10,1,10,1,1,6,7,9,10,5,7,1,3,4,10,1,10,10,3,1,10,10,1,1,4,6,1,1,1,2,1,1,2,1,2,1.0,3,1,1,1,5,1,4,1,2,1,1,1,3,1,6.0,1.0,6,6,6,6,6,Strongly agree,Always,Never,Sometimes,Yes,Neutral,,,,
212,nifpo90,5,7,7,10,9,8,1,5,6,6,7,3,3,5,1,5,8,6,7,7,7,1,1,3,2,5,7,4,4,4,4,4,3,3,3,3,3,3,3.0,2,4,3,2,3,3,4,4,4,3,3,3,4,3,5.0,5.0,4,3,3,3,2,Neutral,Always,Never,Sometimes,No,Neutral,,,,
213,shfpo99,5,10,2,10,1,7,1,3,1,1,10,8,5,2,1,4,10,10,2,10,10,1,1,3,1,6,3,5,6,2,1,4,3,3,3,6,1,3,6.0,3,1,2,1,1,1,1,1,1,1,1,4,6,1,1.0,6.0,6,1,6,6,1,Disagree,Often,Sometimes,Sometimes,No,Neutral,,,,
214,sompo94,1,2,4,10,4,8,2,9,5,4,7,5,7,7,7,9,7,8,5,7,7,2,3,8,7,3,5,4,4,4,4,4,3,4,3,4,4,3,3.0,3,1,3,2,3,3,1,4,1,1,1,3,2,3,3.0,6.0,4,3,3,6,4,Agree,Sometimes,Often,Sometimes,Yes,Exciting,,,,
215,anfpo70,5,9,7,10,7,10,2,2,4,7,10,10,7,7,2,9,9,5,7,7,8,8,5,6,4,5,7,5,5,4,5,4,4,4,5,4,4,5,5.0,4,4,6,6,4,4,3,4,2,3,5,4,2,4,5.0,4.0,5,3,4,3,5,Neutral,Sometimes,Always,Never,No,Neutral,,,,
216,namgr91,4,8,1,10,3,6,1,7,3,7,9,2,7,4,4,2,8,6,1,3,6,1,1,1,7,3,2,2,2,2,2,3,4,4,2,5,3,2,3.0,2,5,5,1,2,3,1,3,2,3,2,2,3,2,5.0,5.0,4,2,3,3,2,Disagree,Sometimes,Often,Sometimes,No,Neutral,,,,
217,ommgr63,5,8,4,10,2,9,5,4,4,4,4,4,7,2,1,6,2,9,1,1,9,2,4,3,6,3,6,3,3,4,5,2,6,1,5,2,4,1,1.0,6,6,5,3,3,3,3,2,6,6,6,2,2,2,2.0,4.0,5,2,5,3,5,Agree,Always,Sometimes,Sometimes,No,Neutral,,,,
218,hamgr84,7,8,8,10,6,7,1,1,3,9,8,9,7,8,5,8,7,7,6,6,7,6,6,6,6,3,6,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
219,pumgr97,7,9,6,10,2,6,1,7,5,2,8,2,6,3,1,5,8,3,5,7,5,2,2,2,1,1,3,2,5,2,4,2,4,4,4,4,2,4,4.0,2,6,2,2,4,3,1,3,2,2,2,1,6,2,5.0,4.0,3,2,2,3,2,Neutral,Always,Never,Never,Yes,Exciting,,,,
220,bhmgr70,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,Agree,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
221,safgr91,7,8,6,10,1,10,1,5,10,8,6,4,1,5,1,2,10,6,5,10,10,1,1,1,1,1,1,1,4,1,6,4,1,1,1,3,1,1,1.0,1,1,1,1,1,2,6,1,1,1,1,2,6,6,1.0,4.0,6,2,6,6,1,Neutral,Sometimes,Sometimes,Never,Yes,Neutral,,,,
222,shmpo97,6,7,8,10,1,2,1,1,1,10,3,10,8,6,1,1,4,10,1,10,8,1,4,2,1,4,8,6,6,1,1,2,6,6,6,6,4,4,4.0,4,4,4,2,1,1,1,1,1,1,1,1,6,1,6.0,6.0,6,4,6,6,1,Agree,Often,Often,Never,No,Neutral,,,,
223,samgr81,2,6,7,10,5,8,3,3,6,10,3,8,9,5,1,9,7,8,7,6,8,7,4,7,9,4,6,5,5,4,4,4,4,6,3,5,5,5,5.0,5,5,3,2,4,4,5,2,3,3,1,1,5,1,4.0,6.0,5,4,3,5,5,Neutral,Always,Sometimes,Sometimes,No,Annoying,,,,
224,vymgr82,2,8,3,10,5,1,1,1,6,3,6,5,7,3,1,3,1,4,3,8,5,6,4,6,6,6,1,4,1,2,2,2,1,4,2,2,1,1,2.0,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2.0,2.0,1,1,1,1,1,Neutral,Always,Often,Sometimes,Yes,Neutral,,,,
225,nimgr75,3,7,6,10,2,2,1,2,6,8,9,7,6,5,2,3,8,7,1,7,6,4,2,6,2,5,5,2,4,3,1,3,4,5,3,4,2,3,2.0,1,5,2,2,2,3,4,2,1,2,1,2,4,1,2.0,1.0,4,4,5,5,4,Disagree,Sometimes,Sometimes,Often,No,Neutral,,,,
226,homgr93,7,6,7,10,7,4,5,4,6,7,10,8,9,4,6,3,9,5,7,7,7,8,6,5,4,3,9,4,4,3,4,3,4,3,3,3,3,3,3.0,4,3,3,2,3,4,3,5,4,4,1,4,5,3,6.0,5.0,5,5,5,5,5,Neutral,Sometimes,Often,Always,No,Neutral,,,,
227,admgr81,4,8,9,10,8,8,1,8,4,9,4,7,7,6,2,1,3,8,2,9,8,7,1,7,6,1,4,4,5,4,2,5,5,4,4,3,2,1,3.0,1,1,1,1,1,1,1,4,2,1,2,2,4,2,5.0,3.0,5,4,5,4,3,Neutral,Never,Sometimes,Often,No,Neutral,,,,
228,sompo79,5,5,9,10,5,5,1,2,8,7,6,6,2,8,1,5,8,7,2,6,9,9,1,5,2,5,3,4,5,2,2,2,3,3,3,1,1,1,1.0,1,3,2,3,1,3,1,2,1,1,1,3,3,2,3.0,4.0,4,4,3,3,3,Agree,Sometimes,Sometimes,Always,Yes,Neutral,,,,
229,anmgr86,1,5,10,10,1,10,5,1,10,10,1,5,10,3,1,4,3,10,8,8,1,1,1,5,3,2,1,2,5,5,2,6,2,2,1,4,2,3,1.0,1,3,1,1,3,4,6,1,3,2,1,6,6,6,4.0,6.0,4,6,3,6,1,Agree,Never,Sometimes,Always,No,Exciting,,,,
230,prfgr97,3,8,5,10,2,5,1,1,2,5,9,3,2,2,1,1,6,4,1,3,1,1,1,1,2,5,1,1,1,1,2,1,1,1,1,2,1,1,1.0,1,1,1,1,1,1,1,4,4,2,3,1,1,1,5.0,5.0,2,2,2,3,1,Strongly disagree,Often,Often,Sometimes,No,Neutral,,,,
231,mafgr93,6,10,4,10,1,1,1,1,4,2,2,3,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,3,1,2,1,2,5,1,1,3.0,1,1,1,1,1,1,1,2,1,1,1,1,3,1,6.0,2.0,2,1,2,2,1,Disagree,Always,Never,Never,No,Annoying,,,,
232,ammpo84,7,5,5,10,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,Strongly disagree,Never,Sometimes,Never,No,Neutral,,,,
233,dempo89,4,5,6,5,6,7,5,8,6,6,6,8,6,6,6,7,6,6,6,8,6,7,6,7,6,4,6,5,5,4,4,4,5,5,5,5,5,4,5.0,5,3,4,5,4,4,4,5,5,5,5,5,5,5,5.0,5.0,5,5,4,5,5,Neutral,Sometimes,Sometimes,Sometimes,Yes,Neutral,,,,
234,anmgr62,6,4,10,10,1,9,2,2,3,5,3,7,3,4,2,5,10,7,6,7,5,1,2,4,4,3,4,4,5,4,4,4,1,3,3,4,4,1,3.0,4,2,4,1,4,3,5,3,1,1,1,4,5,1,3.0,1.0,3,5,3,6,3,Strongly agree,Never,Never,Always,No,Neutral,,,,
235,ismgr87,3,8,5,10,4,6,1,1,3,5,9,4,1,3,1,2,1,6,4,3,7,5,1,3,1,2,4,4,4,3,2,5,5,5,4,4,2,3,2.0,2,2,1,1,1,2,1,5,1,1,1,1,1,6,3.0,6.0,1,4,3,5,2,Neutral,Often,Sometimes,Often,No,Neutral,,,,
236,ramgr89,1,10,10,10,1,8,1,1,3,10,5,10,10,10,1,6,10,5,1,8,1,1,1,5,5,5,8,4,1,1,1,1,4,3,3,5,4,6,4.0,5,6,5,4,5,4,5,4,3,3,5,4,5,4,5.0,4.0,5,3,5,4,5,Agree,Often,Often,Sometimes,No,Happy,,,,
237,sumgr77,10,10,5,5,2,8,2,8,5,7,3,8,4,8,4,7,6,9,5,7,5,7,4,8,4,7,4,4,3,5,2,5,2,6,3,4,5,2,1.0,5,2,2,2,4,5,4,3,1,5,3,4,2,5,2.0,5.0,3,4,4,2,4,Agree,Often,Often,Sometimes,No,Happy,,,,
238,sumgr94,1,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,Neutral,Sometimes,Sometimes,Sometimes,Yes,Neutral,,,,
239,atmgr82,4,7,3,10,6,4,1,1,4,10,5,5,1,9,2,8,3,6,5,6,8,5,3,10,7,10,7,3,3,5,3,3,4,2,2,2,2,4,5.0,4,5,4,2,3,2,4,5,6,1,6,4,6,6,6.0,6.0,4,1,5,2,5,Agree,Often,Never,Always,Yes,Exciting,,,,
240,admgr95,7,8,9,10,2,5,1,1,3,8,10,6,1,1,1,8,10,3,2,8,2,1,1,8,1,1,1,1,3,2,1,1,2,3,3,5,4,1,3.0,1,1,1,1,2,1,3,4,1,1,1,2,6,1,1.0,5.0,5,4,3,3,2,Disagree,Always,Sometimes,Never,No,Neutral,,,,
241,opfgr83,5,5,4,10,3,4,4,4,4,4,8,4,4,4,2,4,6,4,2,4,2,1,4,5,8,4,5,2,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2,2,3,2,2,2,2,2,2,4,4,4,4.0,4.0,4,4,3,3,3,Neutral,Often,Sometimes,Sometimes,No,Annoying,,,,
242,mafpo70,4,8,8,10,1,3,1,7,3,5,2,4,8,9,1,2,9,2,1,7,2,1,2,2,2,7,6,1,1,3,1,4,5,5,5,5,1,1,3.0,1,2,1,1,2,1,5,5,1,1,2,2,6,1,6.0,2.0,5,3,2,2,1,Strongly disagree,Sometimes,Sometimes,Always,No,Neutral,,,,
243,bhmgr63,2,8,6,10,2,3,1,2,8,10,2,7,10,7,1,2,3,8,6,8,7,2,2,3,3,8,6,5,4,4,4,3,5,5,5,4,2,3,5.0,5,5,4,1,1,3,1,4,2,6,2,3,2,1,5.0,6.0,6,5,4,5,1,Neutral,Never,Sometimes,Often,No,Neutral,,,,
244,prmgr95,5,7,8,10,8,9,1,3,2,9,8,9,6,7,2,4,5,8,3,6,5,8,6,3,5,5,6,3,5,4,5,3,5,4,5,4,6,3,5.0,4,2,1,5,1,3,3,3,3,5,2,5,5,5,2.0,2.0,3,3,1,5,2,Disagree,Often,Always,Sometimes,Yes,Neutral,,,,
245,almgr93,2,7,6,10,1,6,3,5,5,6,3,4,4,2,2,5,6,6,5,4,6,2,3,3,3,5,5,2,3,5,5,4,3,3,3,5,4,2,3.0,2,2,2,3,3,3,4,3,1,3,3,3,3,2,4.0,3.0,3,4,2,4,3,Neutral,Sometimes,Always,Sometimes,No,Neutral,,,,
246,sumgr91,8,6,5,7,6,5,7,6,5,5,5,5,5,6,7,6,6,7,6,7,6,7,7,6,7,6,6,4,3,4,4,4,1,4,2,4,1,4,3.0,2,4,4,3,3,4,3,1,4,3,4,3,3,4,3.0,4.0,4,3,5,4,3,Neutral,Sometimes,Never,Often,Yes,Neutral,,,,
247,mamgr90,5,3,7,10,4,7,5,2,7,6,8,3,4,3,1,7,6,8,8,8,7,6,2,6,6,6,3,4,4,5,4,5,2,3,2,2,1,3,2.0,2,1,3,1,2,4,3,3,1,2,1,4,5,2,4.0,3.0,4,4,4,4,3,Agree,Sometimes,Never,Always,No,Neutral,,,,
248,hamgr84,4,6,8,10,9,9,9,8,8,6,6,6,5,7,8,7,6,8,7,7,5,7,5,7,6,7,8,5,5,4,5,5,4,4,4,5,5,5,4.0,5,4,5,5,6,4,4,3,3,5,4,4,5,5,4.0,4.0,5,5,4,4,5,Strongly agree,Often,Sometimes,Often,Yes,Happy,,,,
249,avmgr83,8,9,10,7,9,7,8,6,8,9,10,6,9,8,8,8,8,7,9,9,8,9,8,9,8,9,7,4,5,3,5,6,5,5,6,5,5,2,5.0,5,6,6,5,4,4,5,5,5,5,4,5,6,5,5.0,3.0,5,6,4,5,5,Agree,Sometimes,Often,Sometimes,Yes,Neutral,,,,
250,mamgr72,4,2,2,7,5,9,6,5,6,5,6,5,7,4,4,8,5,5,7,3,3,6,5,6,5,4,4,4,5,3,2,3,3,3,2,4,4,3,5.0,2,5,4,3,2,3,4,2,3,4,5,4,5,3,3.0,4.0,3,5,2,4,4,Disagree,Sometimes,Never,Often,No,Exciting,,,,
251,prmgr90,6,7,5,2,3,5,3,7,7,4,4,6,4,4,3,6,3,5,5,2,1,10,2,5,2,1,3,1,4,3,2,6,1,3,4,5,2,2,1.0,4,4,4,3,4,3,5,6,3,3,3,4,3,3,4.0,4.0,3,2,3,2,4,Strongly disagree,Often,Sometimes,Often,No,Neutral,,,,
252,mamgr93,5,5,5,10,5,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Never,Sometimes,Often,Yes,Neutral,,,,
253,admgr94,10,6,3,10,2,5,8,7,6,5,6,3,4,5,3,3,6,5,6,7,5,6,4,4,4,6,4,1,4,6,4,3,4,4,3,3,3,3,3.0,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4.0,3.0,4,4,3,4,3,Neutral,Often,Sometimes,Always,No,Neutral,,,,
254,hamgr95,1,9,8,10,1,6,5,8,5,5,6,7,8,7,6,8,8,5,4,8,6,7,6,5,5,5,5,4,4,4,4,3,2,4,3,4,4,3,4.0,3,4,3,4,4,4,4,4,3,4,3,4,3,4,3.0,4.0,4,4,3,4,4,Strongly agree,Often,Always,Sometimes,Yes,Annoying,,,,
255,tamgr70,4,5,6,10,5,7,1,3,4,5,3,8,8,5,6,3,6,5,1,6,5,3,4,2,3,7,6,3,3,1,2,5,5,4,3,3,3,2,2.0,2,5,3,2,1,2,1,1,6,2,3,3,2,1,2.0,5.0,5,5,4,5,3,Neutral,Never,Sometimes,Often,No,Exciting,,,,
256,sumgr76,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Often,Sometimes,Often,No,Neutral,,,,
257,pamgr79,6,6,6,8,5,5,7,9,8,9,6,5,6,6,6,7,7,8,5,8,6,6,8,8,8,8,7,4,4,4,4,5,4,4,3,4,4,4,6.0,2,5,5,5,5,5,3,5,4,5,2,4,4,4,5.0,5.0,5,4,5,5,3,Disagree,Often,Often,Often,Yes,Neutral,,,,
258,ramgr97,6,1,10,10,1,5,1,6,5,5,6,5,6,6,6,6,6,4,7,3,4,5,6,7,4,4,4,3,3,3,3,4,3,3,3,3,3,2,3.0,3,2,4,4,4,4,3,4,3,4,4,3,4,4,4.0,3.0,4,4,2,5,4,Neutral,Always,Often,Sometimes,Yes,Neutral,,,,
259,admgr98,5,10,9,10,7,1,1,4,4,6,5,6,6,8,9,6,8,7,10,7,6,6,5,6,3,6,6,4,2,3,4,4,5,3,5,3,5,6,5.0,4,5,4,6,5,5,2,5,4,5,5,3,3,4,2.0,4.0,3,2,2,5,2,Neutral,Sometimes,Always,Never,Yes,Happy,,,,
260,himgr79,2,5,8,10,6,8,1,2,3,9,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,3,3,3,4,4,4,4,3,4,4,3.0,3,4,4,3,4,3,3,3,3,4,4,3,3,4,4.0,3.0,3,3,3,4,3,Neutral,Often,Sometimes,Often,Yes,Neutral,,,,
261,b.mgr93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Sometimes,Sometimes,Often,Yes,Neutral,,,,
262,temgr70,1,5,3,3,5,3,4,8,6,6,5,5,2,4,3,2,3,8,8,5,5,4,6,7,5,6,6,4,4,3,4,3,4,4,3,4,2,6,3.0,1,4,6,3,4,1,2,5,2,6,2,3,2,5,3.0,2.0,2,4,1,4,6,Neutral,Often,Often,Sometimes,Yes,Exciting,,,,
263,y mgr95,10,8,7,10,5,8,9,8,5,5,9,1,2,2,2,1,1,2,3,3,3,3,3,1,2,8,3,1,1,3,3,3,5,2,3,4,4,3,3.0,3,4,4,4,5,4,4,4,3,3,3,4,4,3,3.0,2.0,2,2,3,2,2,Neutral,Sometimes,Never,Often,Yes,Neutral,,,,
264,nimpo91,3,7,8,10,5,6,1,4,5,6,6,5,4,5,1,6,3,7,2,5,4,2,2,6,2,2,1,3,2,2,3,2,3,4,2,4,2,2,2.0,2,3,3,2,2,2,5,5,1,1,1,4,6,1,4.0,3.0,4,4,3,4,4,Agree,Sometimes,Sometimes,Often,No,Neutral,,,,
265,pamgr83,10,10,10,10,1,10,1,10,10,8,10,1,10,10,1,3,2,6,1,10,1,1,1,3,1,10,1,1,1,3,3,6,6,6,6,6,6,2,6.0,6,4,1,1,4,2,6,6,1,1,1,2,6,1,3.0,6.0,6,5,2,1,3,Strongly agree,Sometimes,Often,Often,Yes,Neutral,,,,
266,mampo90,4,5,2,10,1,2,1,2,2,1,3,2,2,1,1,1,3,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,3,3,3,3,2,2.0,2,2,2,1,1,1,3,3,3,3,2,2,1,1,4.0,3.0,2,2,1,3,1,Neutral,Often,Often,Sometimes,Yes,Neutral,,,,
267,bimgr90,4,6,8,10,2,3,3,2,2,3,4,6,10,8,1,6,8,6,2,8,8,3,1,3,2,9,3,2,2,3,1,2,4,2,3,4,4,3,4.0,2,2,2,1,3,2,5,3,2,4,1,4,4,1,4.0,4.0,6,4,4,5,4,Agree,Never,Often,Always,No,Neutral,,,,
268,aamgr86,6,4,10,10,6,1,1,1,6,5,10,2,1,4,1,3,5,7,1,10,5,1,1,1,1,5,6,1,2,2,2,1,6,1,6,6,1,4,1.0,1,2,3,3,2,1,1,4,1,1,1,6,2,1,6.0,6.0,6,6,6,4,3,Strongly agree,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
269,prmgr87,1,5,8,10,8,1,1,1,10,10,1,8,8,1,5,5,7,7,1,5,1,1,1,4,1,1,1,1,4,1,1,1,4,4,3,3,1,1,3.0,1,1,3,3,3,4,4,4,3,4,3,4,3,4,4.0,3.0,4,3,4,3,4,Agree,Sometimes,Sometimes,Sometimes,No,Exciting,,,,
270,prfgr79,4,10,8,10,10,4,5,2,4,3,10,8,7,3,1,4,4,8,5,9,10,1,1,3,2,6,5,2,6,6,2,1,4,5,1,6,1,5,2.0,1,6,4,2,5,4,1,6,3,1,1,1,6,2,6.0,5.0,6,5,5,6,2,Agree,Often,Always,Never,Yes,Exciting,,,,
271,bifpo70,5,7,4,10,7,5,1,3,8,3,7,4,3,8,1,5,6,2,6,7,7,1,4,2,1,3,3,3,4,2,4,4,5,5,4,4,2,3,2.0,2,3,2,3,1,4,5,3,4,4,5,3,2,4,4.0,4.0,4,3,3,2,2,Neutral,Never,Always,Sometimes,No,Exciting,,,,
272,rimgr80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
273,sampo63,5,7,5,10,5,4,5,5,5,4,6,6,4,6,5,5,6,5,5,5,5,5,4,6,4,4,3,4,3,4,3,5,3,5,3,4,4,4,4.0,4,4,3,4,4,3,4,3,3,4,3,3,4,3,4.0,3.0,3,4,4,3,4,Neutral,Sometimes,Often,Often,Yes,Exciting,,,,
274,anfgr63,8,9,2,10,2,3,1,3,2,9,3,4,2,2,1,1,9,2,1,2,5,1,1,1,1,8,1,1,1,1,2,2,3,2,4,5,3,1,2.0,4,1,1,1,1,2,1,3,4,1,5,2,3,2,1.0,5.0,4,3,3,3,1,Neutral,Often,Never,Never,No,Neutral,,,,
275,mamgr63,4,4,3,5,5,5,4,4,5,6,6,5,5,6,5,5,3,5,4,5,4,4,6,6,7,8,6,3,2,4,3,4,3,3,2,3,2,2,2.0,5,3,4,3,2,2,4,5,6,2,1,2,1,4,3.0,1.0,4,4,4,1,1,Neutral,Never,Always,Sometimes,No,Neutral,,,,
276,khmgr78,8,7,8,10,3,5,4,8,9,5,8,4,8,5,5,4,7,8,5,6,6,8,9,9,10,10,8,5,4,2,5,5,4,4,3,3,4,3,4.0,3,5,3,5,3,4,3,4,4,3,5,3,3,3,4.0,4.0,2,3,3,4,3,Neutral,Always,Often,Sometimes,Yes,Neutral,,,,
